,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
35,AMERICAN OUTDOOR BRANDS CORPORATION,,9,1,11%,,,SPRINGFIELD ,american outdoor brands
36,AMERICAN PUBLIC EDUCATION INC,,8,3,38%,,,CHARLES TOWN ,american public education
37,American Railcar Industries Inc.,,6,0,0%,,,ST. CHARLES ,american railcar industries
38,American Renal Associates Holdings Inc.,,10,1,10%,,,BEVERLY ,american renal associates holdings
39,American Science & Engineering Inc.,,7,1,14%,Technology,Massachusetts,Billerica ,american science  engineering
40,AMERICAN SOFTWARE INC,,5,0,0%,,,ATLANTA ,american software
41,AMERICAN STATES WATER CO,,9,4,44%,Utilities,California,SAN DIMAS ,american states water
42,AMERICAN TOWER CORP /MA/,,9,2,22%,Real Estate,Massachusetts,BOSTON ,american tower ma
43,AMERICAN VANGUARD CORP,,8,1,13%,Basic Materials,California,NEWPORT BEACH ,american vanguard
44,American Water Works Company Inc.,,8,5,63%,Utilities,New Jersey,VOORHEES ,american water worksmpany
45,AMERICAN WOODMARK CORP,,8,2,25%,Consumer Cyclical,Virginia,WINCHESTER ,american woodmark
46,AMERICAS CARMART INC,,7,0,0%,,,BENTONVILLE ,americas carmart
47,AMERIPRISE FINANCIAL INC,,9,3,33%,Financial Services,Minnesota,MINNEAPOLIS ,ameriprise financial
48,Ameris Bancorp,,9,1,11%,,,MOULTRIE ,ameris bancorp
49,AMERISAFE INC,,8,2,25%,Financial Services,Louisiana,DERIDDER ,amerisafe
50,AMERISOURCEBERGEN CORP,,10,3,30%,Healthcare,Pennsylvania,CHESTERBROOK ,amerisourcebergen
51,AMES NATIONAL CORP,,10,2,20%,Financial Services,Iowa,AMES ,ames national
52,AMETEK INC/,,10,3,30%,Industrials,Pennsylvania,BERWYN ,ametek
53,AMGEN INC,,13,2,15%,Healthcare,California,THOUSAND OAKS ,amgen
54,Amica Mutual Insurance Company,,12,4,33%,Financial Services,Rhode Island,Lincoln ,amica mutual insurancempany
55,AMICUS THERAPEUTICS INC,,8,1,13%,,,CRANBURY ,amicus therapeutics
56,AMKOR TECHNOLOGY INC,,10,1,10%,Technology,Arizona,TEMPE ,amkor technology
57,AMN HEALTHCARE SERVICES INC,,8,2,25%,Healthcare,California,SAN DIEGO ,amn healthcare services
58,AMPCO PITTSBURGH CORP,,11,0,0%,,,CARNEGIE ,ampco pittsburgh
59,Amphastar Pharmaceuticals Inc.,,9,1,11%,,,RANCHO CUCAMONGA ,amphastar pharmaceuticals
60,AMPHENOL CORP /DE/,,8,1,13%,Technology,Connecticut,WALLINGFORD ,amphenol
61,Amplify Snack Brands INC,,8,2,25%,,,AUSTIN ,amplify snack brands
62,AMSC,,6,1,17%,Technology,Massachusetts,Devens ,amsc
63,AmSurg Corporation,,11,2,18%,Healthcare,Tennessee,Nashville ,amsurg
64,Amtrust Financial Services Inc.,,7,2,29%,Financial Services,New York,NEW YORK ,amtrust financial services
65,ANADARKO PETROLEUM CORP,,12,2,17%,Energy,Texas,THE WOODLANDS ,anadarko petroleum
66,ANALOG DEVICES INC,,9,1,11%,Technology,Massachusetts,NORWOOD ,analog devices
67,ANALOGIC CORP,,6,0,0%,Healthcare,Massachusetts,PEABODY ,analogic
68,ANAPTYSBIO INC,,7,1,14%,,,SAN DIEGO ,anaptysbio
69,ANAVEX LIFE SCIENCES CORP.,,6,0,0%,,,NEW YORK ,anavex life sciences
70,Andersons Inc.,,10,2,20%,Consumer Defensive,Ohio,MAUMEE ,andersons
71,Angie's List Inc.,,10,2,20%,,,INDIANAPOLIS ,angies list
72,ANGIODYNAMICS INC,,8,0,0%,,,LATHAM ,angiodynamics
73,ANI PHARMACEUTICALS INC,,6,0,0%,,,BAUDETTE ,ani pharmaceuticals
74,ANIKA THERAPEUTICS INC,,6,0,0%,,,BEDFORD ,anika therapeutics
75,ANIXTER INTERNATIONAL INC,,12,2,17%,Technology,Illinois,GLENVIEW ,anixter international
76,ANNALY CAPITAL MANAGEMENT INC,,9,2,22%,Real Estate,New York,NEW YORK ,annaly capital management
77,ANSYS INC,,9,1,11%,Technology,Pennsylvania,CANONSBURG ,ansys
78,ANTARES PHARMA INC.,,7,0,0%,,,EWING ,antares pharma
79,ANTERO RESOURCES Corp,,8,0,0%,Energy,Colorado,DENVER ,antero resources
80,Anthem Inc.,,8,2,25%,Healthcare,Indiana,INDIANAPOLIS ,anthem
81,ANWORTH MORTGAGE ASSET CORP,,6,0,0%,Real Estate,California,SANTA MONICA ,anworth mortgage asset
82,Aon plc,,11,3,27%,Financial Services,,LONDON ,aon plc
83,APACHE CORP,,11,2,18%,Energy,Texas,HOUSTON ,apache
84,APARTMENT INVESTMENT & MANAGEMENT CO,,7,2,29%,Real Estate,Colorado,DENVER ,apartment investment  management
85,APOGEE ENTERPRISES INC.,,9,2,22%,,,MINNEAPOLIS ,apogee enterprises
86,Apollo Commercial Real Estate Finance Inc.,,8,1,13%,,,NEW YORK ,apollommercial real estate finance
87,Apollo Education Group Inc.,,12,4,33%,Consumer Defensive,Arizona,Phoenix ,apollo education group
88,Apollo Global Management LLC,,8,1,13%,Financial Services,New York,New York ,apollo global management llc
89,APPFOLIO INC,,7,1,14%,,,GOLETA ,appfolio
90,Apple Hospitality REIT Inc.,,7,0,0%,,,RICHMOND ,apple hospitality reit
91,Apple Inc.,,8,2,25%,Technology,California,CUPERTINO ,apple
92,Appliance Recycling Centers of America Inc.,,4,0,0%,Consumer Cyclical,Minnesota,Minneapolis ,appliance recycling centers of america
93,APPLIED INDUSTRIAL TECHNOLOGIES INC,,9,2,22%,Industrials,Ohio,CLEVELAND ,applied industrial technologies
94,APPLIED MATERIALS INC /DE,,9,2,22%,Technology,California,SANTA CLARA ,applied materials de
95,Applied Micro Circuits Corporation,,7,0,0%,Technology,California,Sunnyvale ,applied micro circuits
96,APPLIED OPTOELECTRONICS INC,,7,0,0%,,,SUGAR LAND ,applied optoelectronics
97,Approach Resources Inc,,8,0,0%,,,FORT WORTH ,approach resources
98,Apria Healthcare Group Inc.,,6,0,0%,Healthcare,California,Lake Forest ,apria healthcare group
99,APTARGROUP INC,,10,3,30%,Consumer Cyclical,Illinois,CRYSTAL LAKE ,aptargroup
100,AQUA AMERICA INC,,8,2,25%,Utilities,Pennsylvania,BRYN MAWR ,aqua america
101,Aqua Metals Inc.,,5,0,0%,,,ALAMEDA ,aqua metals
102,Aramark,,10,3,30%,Consumer Cyclical,Pennsylvania,PHILADELPHIA ,aramark
103,ARATANA THERAPEUTICS INC.,,9,3,33%,,,LEAWOOD ,aratana therapeutics
104,ARC DOCUMENT SOLUTIONS INC.,,7,0,0%,,,WALNUT CREEK ,arc document solutions
105,ARCBEST CORP /DE/,,9,3,33%,Industrials,Arkansas,FORT SMITH ,arcbest
106,ARCH CAPITAL GROUP LTD.,,10,0,0%,Financial Services,,PEMBROKE ,arch capital group
107,ARCH COAL INC,,7,0,0%,Basic Materials,Missouri,ST. LOUIS ,archal
108,ARCHER DANIELS MIDLAND CO,,11,2,18%,Consumer Defensive,Illinois,CHICAGO ,archer daniels midland
109,Archrock Inc.,,8,2,25%,Energy,Texas,HOUSTON ,archrock
110,Arconic Inc.,,13,3,23%,,,NEW YORK ,arconic
111,ARDELYX INC.,,7,1,14%,,,FREMONT ,ardelyx
112,ARDMORE SHIPPING CORP,,8,0,0%,,,HAMILTON ,ardmore shipping
113,ARENA PHARMACEUTICALS INC,,9,2,22%,Healthcare,California,SAN DIEGO ,arena pharmaceuticals
114,Ares Capital Corporation,,10,1,10%,Financial Services,New York,New York ,ares capital
115,Ares Commercial Real Estate Corp,,7,1,14%,,,NEW YORK ,aresmmercial real estate
116,ARGAN INC,,9,1,11%,Industrials,Maryland,ROCKVILLE ,argan
117,Argo Group International Holdings Ltd.,,11,2,18%,,,PEMBROKE ,argo group international holdings
118,Arista Networks Inc.,,7,2,29%,,,SANTA CLARA ,arista networks
119,Arlington Asset Investment Corp.,,8,0,0%,Financial Services,Virginia,ARLINGTON ,arlington asset investment
120,Armada Hoffler Properties Inc.,,8,1,13%,,,VIRGINIA BEACH ,armada hoffler properties
121,AT&T INC.,,13,4,31%,Communication Services,Texas,DALLAS ,att
122,AUTOMATIC DATA PROCESSING INC,,10,2,20%,Industrials,New Jersey,ROSELAND ,automatic data processing
123,BAKER HUGHES INC,,12,2,17%,Energy,Texas,HOUSTON,baker hughes
124,BANK OF AMERICA CORP /DE/,,14,4,29%,Financial Services,North Carolina,CHARLOTTE,bank of america
125,BAXTER INTERNATIONAL INC,,12,1,8%,Healthcare,Illinois,DEERFIELD,baxter international
126,BB&T CORP,,16,4,25%,Financial Services,North Carolina,WINSTON-SALEM,bbt
127,Berkshire Hathaway Inc.,,12,3,25%,Financial Services,Nebraska,OMAHA,berkshire hathaway
128,BIOGEN INC.,,11,3,27%,Healthcare,Massachusetts,CAMBRIDGE,biogen
129,BLACKROCK INC,,18,4,22%,Financial Services,New York,NEW YORK,blackrock
130,BNY Mellon,,13,3,23%,Financial Services,New York,NEW YORK,bny mellon
131,BOEING CO,,13,2,15%,Industrials,Illinois,CHICAGO,boeing
132,BRISTOL MYERS SQUIBB CO,,11,2,18%,Healthcare,New York,NEW YORK,bristol myers squibb
133,CAPITAL ONE FINANCIAL CORP,,10,2,20%,Financial Services,Virginia,MCLEAN,capital one financial
134,CATERPILLAR INC.,,14,3,21%,Industrials,Illinois,PEORIA,caterpillar
135,CBS CORP,,13,3,23%,Consumer Cyclical,New York,NEW YORK,cbs
136,CELGENE CORP /DE/,,11,3,27%,Healthcare,New Jersey,SUMMIT,celgene
137,CENTURYLINK INC,,9,4,44%,Communication Services,Louisiana,MONROE,centurylink
138,SCHWAB CHARLES CORP,,15,2,13%,Financial Services,California,SAN FRANCISCO,schwab charles
139,CHEVRON CORP,,12,4,33%,Energy,California,SAN RAMON,chevron
140,CISCO SYSTEMS INC.,,11,4,36%,Technology,California,SAN JOSE,cisco systems
141,CITIGROUP INC,,15,4,27%,Financial Services,New York,NEW YORK,citigroup
142,COGNIZANT TECHNOLOGY SOLUTIONS CORP,,11,2,18%,Technology,New Jersey,TEANECK,cognizant technology solutions
143,COLGATE PALMOLIVE CO,,10,3,30%,Consumer Defensive,New York,NEW YORK,colgate palmolive
144,COMCAST CORP,,10,1,10%,Communication Services,Pennsylvania,PHILADELPHIA,comcast
145,Kraft Heinz Co,,11,2,18%,Consumer Defensive,Pennsylvania,PITTSBURGH,kraft heinz
146,MASTERCARD INC,,12,3,25%,Financial Services,New York,PURCHASE,mastercard
147,COSTCO WHOLESALE CORP /NEW,,12,2,17%,Consumer Defensive,Washington,ISSAQUAH,costco wholesale new
148,Procter & Gamble Company,,11,4,36%,Consumer Defensive,Ohio,CINCINNATI,procter  gamblempany
149,Chubb Ltd,,16,3,19%,Financial Services,,ZURICH,chubb
150,STRYKER CORP,,8,2,25%,Healthcare,Michigan,KALAMAZOO,stryker
151,CORNING INC /NY,,13,3,23%,Technology,New York,CORNING,corning ny
152,QUALCOMM INC/DE,,11,2,18%,Technology,California,SAN DIEGO,qualcommde
153,COMERICA INC /NEW/,,11,2,18%,Financial Services,Texas,DALLAS,comerica new
154,COMFORT SYSTEMS USA INC,,9,1,11%,,,HOUSTON,comfort systems usa
155,COMMERCE BANCSHARES INC /MO/,,12,1,8%,Financial Services,Missouri,KANSAS CITY,commerce bancshares mo
156,COMMERCEHUB INC.,,9,1,11%,,,ALBANY,commercehub
157,COMMERCIAL METALS CO,,11,2,18%,Basic Materials,Texas,IRVING,commercial metals
158,Commercial Vehicle Group Inc.,,7,0,0%,,,NEW ALBANY,commercial vehicle group
159,Commonwealth Financial Network,,11,3,27%,Financial Services,Massachusetts,Waltham,commonwealth financial network
160,CommScope Holding Company Inc.,,9,1,11%,Technology,North Carolina,HICKORY,commscope holdingmpany
161,COMMUNITY BANK SYSTEM INC.,,12,1,8%,Financial Services,New York,DEWITT,community bank system
162,Community Bankers Trust Corp,,10,1,10%,Financial Services,Virginia,RICHMOND,community bankers trust
163,COMMUNITY FINANCIAL CORP /MD/,,10,2,20%,,,WALDORF,community financial md
164,COMMUNITY HEALTH SYSTEMS INC,,8,1,13%,Healthcare,Tennessee,FRANKLIN,community health systems
165,Community Healthcare Trust Inc,,5,0,0%,,,FRANKLIN,community healthcare trust
166,COMMUNITY TRUST BANCORP INC /KY/,,7,1,14%,,,PIKEVILLE,community trust bancorp ky
167,COMMVAULT SYSTEMS INC,,10,0,0%,,,TINTON FALLS,commvault systems
168,COMPASS MINERALS INTERNATIONAL INC,,9,2,22%,Basic Materials,Kansas,OVERLAND PARK,compass minerals international
169,COMPUTER PROGRAMS & SYSTEMS INC,,7,0,0%,,,MOBILE,computer programs  systems
170,Computer Sciences Corporation,,9,0,0%,Technology,Virginia,Falls Church,computer sciences
171,COMPX INTERNATIONAL INC,,8,4,50%,,,DALLAS,compx international
172,comScore Inc.,,12,2,17%,Industrials,Virginia,Reston,comscore
173,Comstock Holdings Companies Inc.,,8,0,0%,Real Estate,Virginia,Reston,comstock holdingsmpanies
174,COMTECH TELECOMMUNICATIONS CORP /DE/,,6,0,0%,,,MELVILLE,comtech telecommunications
175,CONAGRA FOODS INC /DE/,,11,2,18%,Consumer Defensive,Nebraska,CHICAGO,conagra foods
176,Conatus Pharmaceuticals Inc,,7,0,0%,,,SAN DIEGO,conatus pharmaceuticals
177,CONCERT PHARMACEUTICALS INC.,,9,2,22%,,,LEXINGTON,concert pharmaceuticals
178,CONCHO RESOURCES INC,,9,1,11%,Energy,Texas,MIDLAND,concho resources
179,Concurrent Technologies Corporation,,10,2,20%,Technology,Pennsylvania,Johnstown,concurrent technologies
180,Conduent Business Services LLP,,9,2,22%,Industrials,New Jersey,Basking Ridge,conduent business services llp
181,ConforMIS Inc,,7,0,0%,,,BEDFORD,conformis
182,CONMED CORP,,10,2,20%,,,UTICA,conmed
183,CONNECTICUT WATER SERVICE INC / CT,,8,5,63%,,,CLINTON,connecticut water service  ct
184,ConnectOne Bancorp Inc.,,11,0,0%,,,ENGLEWOOD CLIFFS,connectone bancorp
185,CONNS INC,,8,1,13%,,,THE WOODLANDS,conns
186,CONOCOPHILLIPS,,10,2,20%,Energy,Texas,HOUSTON,conocophillips
187,CONSOL Energy Inc,,11,1,9%,Energy,Pennsylvania,CANONSBURG,consol energy
188,Consolidated Communications Holdings Inc.,,8,1,13%,,,MATTOON,consolidatedmmunications holdings
189,CONSOLIDATED EDISON INC,,10,2,20%,Utilities,New York,NEW YORK,consolidated edison
190,CONSOLIDATED TOMOKA LAND CO,,7,1,14%,,,DAYTONA BEACH,consolidated tomoka land
191,CONSOLIDATED WATER CO LTD,,8,0,0%,,,GRAND CAYMAN,consolidated water
192,CONSTELLATION BRANDS INC.,,11,1,9%,Consumer Defensive,New York,VICTOR,constellation brands
193,Container Store Group Inc.,,11,3,27%,Consumer Cyclical,Texas,COPPELL,container store group
194,CONTANGO OIL & GAS CO,,6,0,0%,,,HOUSTON,contango oil  gas
195,Continental Building Products Inc.,,7,1,14%,,,HERNDON,continental building products
196,CONTINENTAL RESOURCES INC,,6,0,0%,Energy,Oklahoma,OKLAHOMA CITY,continental resources
197,Control4 Corporation,,7,0,0%,,,SALT LAKE CITY,control4
198,CONVERGYS CORP,,9,3,33%,Industrials,Ohio,CINCINNATI,convergys
199,COOPER COMPANIES INC,,9,2,22%,Healthcare,California,PLEASANTON,coopermpanies
200,COOPER TIRE & RUBBER CO,,8,1,13%,Consumer Cyclical,Ohio,FINDLAY,cooper tire  rubber
201,Cooper-Standard Holdings Inc.,,9,2,22%,Consumer Cyclical,Michigan,NOVI,cooperstandard holdings
202,COPA HOLDINGS S.A.,,11,0,0%,,,PANAMA CITY,copa holdings sa
203,COPART INC,,8,0,0%,Consumer Cyclical,Texas,DALLAS,copart
204,CORBUS PHARMACEUTICALS HOLDINGS INC.,,5,1,20%,,,NORWOOD,corbus pharmaceuticals holdings
205,CORCEPT THERAPEUTICS INC,,7,1,14%,,,MENLO PARK,corcept therapeutics
206,Core Laboratories N.V.,,9,3,33%,Energy,,Amsterdam,core laboratories nv
207,CORE MOLDING TECHNOLOGIES INC,,7,0,0%,,,COLUMBUS,core molding technologies
208,Core-Mark Holding Company Inc.,,9,1,11%,Consumer Defensive,California,SOUTH SAN FRANCISCO,coremark holdingmpany
209,CoreCivic Inc.,,9,3,33%,Real Estate,Tennessee,NASHVILLE,corecivic
210,CORELOGIC INC.,,9,2,22%,Industrials,California,IRVINE,corelogic
211,CorEnergy Infrastructure Trust Inc.,,7,1,14%,,,KANSAS CITY,corenergy infrastructure trust
212,CoreSite Realty Corp,,7,1,14%,,,DENVER,coresite realty
213,Corindus Vascular Robotics Inc.,,6,0,0%,,,WALTHAM,corindus vascular robotics
214,Corium International Inc.,,9,1,11%,,,MENLO PARK,corium international
215,Cornerstone OnDemand Inc,,8,1,13%,Technology,California,SANTA MONICA,cornerstone ondemand
216,CORNING INC /NY,,13,3,23%,Technology,New York,CORNING,corning ny
217,Corporate Executive Board Company,,9,2,22%,Industrials,Virginia,Arlington,corporate executive boardmpany
218,CORPORATE OFFICE PROPERTIES TRUST,,9,1,11%,Real Estate,Maryland,COLUMBIA,corporate office properties trust
219,CORVEL CORP,,6,1,17%,Financial Services,California,IRVINE,corvel
220,Corvus Pharmaceuticals Inc.,,7,0,0%,,,BURLINGAME,corvus pharmaceuticals
221,COSTAMARE INC.,,5,1,20%,,,MONACO,costamare
222,COSTAR GROUP INC,,8,1,13%,Real Estate,District of Columbia,WASHINGTON,costar group
223,COSTCO WHOLESALE CORP /NEW,,12,2,17%,Consumer Defensive,Washington,ISSAQUAH,costco wholesale new
224,Cotiviti Holdings Inc.,,9,2,22%,,,ATLANTA,cotiviti holdings
225,Cott Corporation,,11,1,9%,Consumer Defensive,Ontario,Mississauga,cott
226,COTY INC.,,8,0,0%,Consumer Defensive,New York,NEW YORK,coty
227,County Bancorp Inc.,,12,1,8%,,,MANITOWOC,county bancorp
228,Coupa Software Inc,,8,1,13%,,,SAN MATEO,coupa software
229,COUSINS PROPERTIES INC,,8,3,38%,,,ATLANTA,cousins properties
230,COVANTA HOLDING CORP,,11,3,27%,Industrials,New Jersey,MORRISTOWN,covanta holding
231,COVENANT TRANSPORTATION GROUP INC,,6,0,0%,,,CHATTANOOGA,covenant transportation group
232,COWEN INC.,,8,1,13%,,,NEW YORK,cowen
233,CPI Card Group Inc.,,9,1,11%,,,LITTLETON,cpi card group
234,CRA INTERNATIONAL INC.,,8,1,13%,Industrials,Massachusetts,BOSTON,cra international
235,CRACKER BARREL OLD COUNTRY STORE INC,,9,2,22%,Consumer Cyclical,Tennessee,LEBANON,cracker barrel olduntry store
236,CRAFT BREW ALLIANCE INC.,,8,1,13%,,,PORTLAND,craft brew alliance
237,CRANE CO /DE/,,11,2,18%,Industrials,Connecticut,STAMFORD,crane
238,CRAWFORD & CO,,9,1,11%,,,ATLANTA,crawford 
239,CRAY INC,,8,1,13%,,,SEATTLE,cray
240,CREDIT ACCEPTANCE CORP,,4,1,25%,Financial Services,Michigan,SOUTHFIELD,credit acceptance
241,Credit Suisse Group,,12,3,25%,Financial Services,,Zurich,credit suisse group
242,CREE INC,,8,1,13%,Technology,North Carolina,DURHAM,cree
243,Crestwood Equity Partners L.P.,,7,0,0%,Energy,Texas,Houston,crestwood equity partners lp
244,Crocs Inc.,,8,1,13%,,,NIWOT,crocs
245,CROSS COUNTRY HEALTHCARE INC,,7,1,14%,Industrials,Florida,BOCA RATON,crossuntry healthcare
246,CROWN CASTLE INTERNATIONAL CORP,,11,1,9%,Communication Services,Texas,HOUSTON,crown castle international
247,CROWN HOLDINGS INC,,12,2,17%,Consumer Cyclical,Pennsylvania,PHILADELPHIA,crown holdings
248,Crown Media Holdings Inc.,,14,1,7%,Communication Services,California,Studio City,crown media holdings
249,CRYOLIFE INC,,8,0,0%,,,KENNESAW,cryolife
250,CSG SYSTEMS INTERNATIONAL INC,,10,1,10%,,,ENGLEWOOD,csg systems international
251,CSRA Inc.,,11,3,27%,,,FALLS CHURCH,csra
252,CSS INDUSTRIES INC,,7,1,14%,,,PLYMOUTH MEETING,css industries
253,CST Brands Inc.,,11,3,27%,Consumer Cyclical,Texas,SAN ANTONIO,cst brands
254,CSW INDUSTRIALS INC.,,7,1,14%,,,DALLAS,csw industrials
255,CSX CORP,,13,3,23%,Industrials,Florida,JACKSONVILLE,csx
256,CTS CORP,,7,2,29%,,,LISLE,cts
257,CU Bancorp,,12,0,0%,,,LOS ANGELES,cu bancorp
258,CubeSmart,,8,2,25%,,,MALVERN,cubesmart
259,CUBIC CORP /DE/,,8,2,25%,Industrials,California,SAN DIEGO,cubic
260,CULLEN/FROST BANKERS INC.,,15,2,13%,Financial Services,Texas,SAN ANTONIO,cullenfrost bankers
261,CULP INC,,6,0,0%,,,HIGH POINT,culp
262,CUMMINS INC,,10,2,20%,Industrials,Indiana,COLUMBUS,cummins
263,CUNA Mutual Group,,11,3,27%,Financial Services,Wisconsin,Madison,cuna mutual group
264,CURIS INC,,8,1,13%,,,LEXINGTON,curis
265,CURTISS WRIGHT CORP,,10,2,20%,Industrials,North Carolina,CHARLOTTE,curtiss wright
266,Customers Bancorp Inc.,,7,1,14%,,,WYOMISSING,customers bancorp
267,CUTERA INC,,8,0,0%,,,BRISBANE,cutera
268,CVB FINANCIAL CORP,,7,2,29%,Financial Services,California,ONTARIO,cvb financial
269,CVR ENERGY INC,,8,0,0%,Energy,Texas,SUGAR LAND,cvr energy
270,CVS Health Corp,,12,4,33%,Healthcare,Rhode Island,WOONSOCKET,cvs health
271,CYBEROPTICS CORP,,5,1,20%,Technology,Minnesota,MINNEAPOLIS,cyberoptics
272,Cynosure Inc.,,6,1,17%,Healthcare,Massachusetts,Westford,cynosure
273,CYPRESS SEMICONDUCTOR CORP /DE/,,7,0,0%,Technology,California,SAN JOSE,cypress semiconductor
274,CyrusOne Inc.,,8,1,13%,,,DALLAS,cyrusone
275,CYS Investments Inc.,,8,3,38%,,,WALTHAM,cys investments
276,CYTOKINETICS INC,,8,1,13%,Healthcare,California,SOUTH SAN FRANCISCO,cytokinetics
277,CytomX Therapeutics Inc.,,7,1,14%,,,SOUTH SAN FRANCISCO,cytomx therapeutics
278,DAILY JOURNAL CORP,,5,0,0%,,,LOS ANGELES,daily journal
279,DAKTRONICS INC /SD/,,8,1,13%,,,BROOKINGS,daktronics sd
280,DANA INC,,8,2,25%,Consumer Cyclical,Ohio,MAUMEE,dana
281,DANAHER CORP /DE/,,12,2,17%,Industrials,District of Columbia,WASHINGTON,danaher
282,DARDEN RESTAURANTS INC,,8,3,38%,Consumer Cyclical,Florida,ORLANDO,darden restaurants
283,DARLING INGREDIENTS INC.,,10,3,30%,Industrials,Texas,IRVING,darling ingredients
284,Dave & Buster's Entertainment Inc.,,8,2,25%,,,DALLAS,dave  busters entertainment
285,DAVITA INC.,,11,3,27%,Healthcare,Colorado,DENVER,davita
286,DCP Midstream Partners LP,,8,0,0%,Energy,Colorado,Denver,dcp midstream partners lp
287,DCT Industrial Trust Inc.,,8,1,13%,,,DENVER,dct industrial trust
288,DDR CORP,,9,1,11%,Real Estate,Ohio,BEACHWOOD,ddr
289,DEAN FOODS CO,,8,2,25%,Consumer Defensive,Texas,DALLAS,dean foods
290,DECKERS OUTDOOR CORP,,10,3,30%,Consumer Cyclical,California,GOLETA,deckers outdoor
291,DEERE & CO,,12,3,25%,Industrials,Illinois,MOLINE,deere 
292,Del Frisco's Restaurant Group Inc.,,7,1,14%,,,SOUTHLAKE,del friscos restaurant group
293,Del Taco Restaurants Inc.,,7,1,14%,,,LAKE FOREST,del taco restaurants
294,Delek US Holdings Inc.,,6,0,0%,Energy,Tennessee,BRENTWOOD,delek us holdings
295,DELL TECHNOLOGIES INC,,6,1,17%,,,ROUND ROCK,dell technologies
296,Delphi Automotive PLC,,12,1,8%,,,GILLINGHAM,delphi automotive plc
297,DELTA AIR LINES INC /DE/,,11,2,18%,Industrials,Georgia,ATLANTA,delta air lines
298,DELTA APPAREL INC,,8,1,13%,,,GREENVILLE,delta apparel
